device,model,seed,split,tag,name_cn,unit,r2,rmse,mae,bias,within_tolerance,train_min,train_max,samples
CND1,ANN,20260801,train,SYG1_10MAG10CP101,凝汽器 1 压力 1,kPa,0.9824644327163696,0.0611545387027661,0.0389492027461528,-0.0027539341244846,0.9956849449410182,3.7780003547668457,7.967000007629394,35689
CND1,ANN,20260801,train,SYG1_10MAG10CP105,凝汽器 1 压力 2,kPa,0.9822961688041688,0.0615979700637507,0.0389588065445423,-0.0025463942438364,0.9949564291518396,3.763000011444092,7.967000007629394,35689
CND1,ANN,20260801,train,SYG1_10MAG10CP106,凝汽器 1 压力 3,kPa,0.9823305010795592,0.0620057185716929,0.0398925617337226,-0.0027784598059952,0.9956008854268822,3.687000036239624,7.951000213623047,35689
CND1,ANN,20260801,train,SYG1_10MAG10CP107,凝汽器 1 压力 4,kPa,0.9822749495506288,0.0618546893158332,0.0395702496170997,-0.0036406652070581,0.9951805878562022,3.67900013923645,7.8520002365112305,35689
CND1,ANN,20260801,train,SYG1_10MAG10CP108,凝汽器 1 压力 5,kPa,0.9818381667137146,0.0615458012609718,0.0393363498151302,-0.0029681546147912,0.9957129647790636,3.5109996795654297,7.630999565124512,35689
CND1,ANN,20260801,train,SYG1_10MAG10CP109,凝汽器 1 压力 6,kPa,0.9826968312263488,0.0611451093201255,0.0391470454633235,-0.0035545704886317,0.9956008854268822,3.694000244140625,7.875,35689
CND1,ANN,20260801,train,SYG1_10MAG10CT101,凝汽器 1 温度 1,℃,0.9861873984336852,0.1991103382208536,0.1321395188570022,-0.0112148867920041,0.998907226316232,28.177000045776367,41.06499862670898,35689
CND1,ANN,20260801,train,SYG1_10MAG10CT102,凝汽器 1 温度 2,℃,0.9861695170402528,0.1993746988599171,0.1330602169036865,-0.0100140338763594,0.998907226316232,27.924999237060547,40.68499755859375,35689
CND1,ANN,20260801,train,SYG1_10MAG10CT103,凝汽器 1 温度 3,℃,0.9856448769569396,0.2031107494050381,0.1351596564054489,-0.0105685191228985,0.998655047773824,28.303001403808597,41.19100189208984,35689
CND1,ANN,20260801,train,SYG1_10MAG10CT104,#1 机凝汽器 I（低压）壳侧温度,℃,0.98430597782135,0.216104268861339,0.1534167528152465,-0.0163921974599361,0.9971419765193758,27.546998977661133,37.52199935913086,35689
CND1,ANN,20260801,train,SYG1_10MAG10CL104,#1 机凝汽器 I（低压）热井液位 4,mm,0.8832269310951233,26.040239153582696,18.086381912231445,-0.4083548784255981,0.4250329233097032,697.905029296875,1232.22900390625,35689
CND1,ANN,20260801,train,SYG1_10MAG10CL105,#1 机凝汽器 I（低压）热井液位 5,mm,0.8821023106575012,26.01511119988126,18.1809024810791,-0.4769432842731476,0.4208859872789935,711.4089965820312,1242.071044921875,35689
CND1,ANN,20260801,train,SYG1_10MAG10CL106,#1 机凝汽器 I（低压）热井液位 6,mm,0.8831871747970581,25.76053618637188,18.011343002319336,-0.4200994372367859,0.4218106419344896,694.928955078125,1225.02001953125,35689
CND1,ANN,20260801,train,SYG1_10MAG10CL104-SEL,#1 机凝汽器 I（低压）热井液位三选 - SEL,-,0.882087767124176,26.16757660597724,18.240074157714844,-0.4636465609073639,,697.7900390625,1231.4290771484375,35689
