device,model,seeds,outputs,macro_r2_mean,macro_r2_std,macro_rmse_mean,macro_mae_mean
CND1,ANN,1,14,0.6144667608397347,0.13835693161812704,15.781593867458216,9.921088496489185
CND1,GRU,1,14,0.5637117198535374,0.1498023704914276,16.593071837106887,11.765092944460255
CND1,TCN,1,14,0.570808334009988,0.1669830365137461,17.031268025040017,11.928039030304976
CND1,iTransformer-small,1,14,-0.04985640730176656,0.19433377912746594,24.055404947884444,18.703673132828303
DEA,ANN,3,9,0.24232749585752134,0.7269349470054326,11.134565602314195,7.513842447212449
DEA,GRU,3,9,0.21683775937115707,0.7477264485891797,11.241963090435751,7.655828250848033
DEA,TCN,3,9,-136.4405690409519,423.8791755893649,56.701516873324636,9.849368783748812
DEA,iTransformer-small,3,9,-17.38983401987288,16.728349643712313,30.060537008614588,7.995637972045828
H1,ANN,3,6,0.6873703532748752,0.31962544750588157,6.235858592874413,4.97845232155588
H1,GRU,3,6,0.7365373174349467,0.27077050454311485,5.663906217233503,4.5060974270519285
H1,TCN,3,6,0.7187733484639062,0.28658418402848906,5.953234703354898,4.744337245201071
H1,iTransformer-small,3,6,0.6675556865003374,0.322464226656231,6.72006330661827,5.306169550451967
