protocol,split,target_tag,name_cn,group,rows,min,max,mean,std
month_expanded_2024,train,SYG1_10MAA50CP101,超高压缸叶片级压力#1,Y1_VHP本体,43911,6.233,23.177,15.715680991095624,4.913456893519066
month_expanded_2024,train,SYG1_10MAA50CP102,超高压缸叶片级压力#2,Y1_VHP本体,43911,6.231,23.186,15.716714171847599,4.91238266311578
month_expanded_2024,train,SYG1_10MAA50CP103,超高压缸叶片级压力#3,Y1_VHP本体,43911,6.256,23.163,15.716418141240236,4.912431886291245
month_expanded_2024,train,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,Y1_VHP本体,43911,386.456,432.78,413.3988243037052,4.304382129497621
month_expanded_2024,train,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,Y1_VHP本体,43911,381.279,429.373,410.3820175126961,4.289273951273212
month_expanded_2024,train,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,Y1_VHP本体,43911,383.84,431.193,411.94808961308104,4.301242769039002
month_expanded_2024,train,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,Y1_VHP本体,43911,3.145,11.275,7.611830907972946,2.396180159442318
month_expanded_2024,train,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,Y1_VHP本体,43911,3.154,11.347,7.655327343945709,2.4117961292997263
month_expanded_2024,train,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,Y1_VHP本体,43911,382.999,434.299,412.9903406891212,4.563478119677547
month_expanded_2024,train,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,Y1_VHP本体,43911,386.867,437.128,415.8659075174786,4.541854024594003
month_expanded_2024,train,SYG1_10LBQ10CP101,一级抽汽口压力,Y2_一级抽汽接口,43911,3.115,11.196,7.560258614014711,2.3793595303392814
month_expanded_2024,train,SYG1_10LBQ10CT101A,一级抽汽口温度,Y2_一级抽汽接口,43911,386.512,436.053,415.5404310081756,4.444415223419305
month_expanded_2024,train,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,Y2_一级抽汽接口,43911,383.815,432.124,412.26410997244426,4.366717840245263
month_expanded_2024,train,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,Y2_一级抽汽接口,43911,383.29,431.947,412.33839165584936,4.42261142663797
month_expanded_2024,train,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,Y2_一级抽汽接口,43911,383.234,432.091,411.92751800232287,4.253677425881009
month_expanded_2024,train,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,Y2_一级抽汽接口,43911,382.854,431.281,411.75196067044703,4.401363886198711
month_expanded_2024,train,SYG1_10LBQ10CP102,1号高加入口抽汽压力,Y2_一级抽汽接口,43911,3.168,11.004,7.510742069185398,2.3166552747864118
month_expanded_2024,train,SYG1_10LBQ10CT106,1号高加入口抽汽温度,Y2_一级抽汽接口,43911,383.234,432.235,412.1347427523856,4.213285379191069
month_expanded_2024,train,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,Y3_VHP至RH1接口,43911,387.169,434.688,414.40614852770375,4.461594408541856
month_expanded_2024,train,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,Y3_VHP至RH1接口,43911,385.716,433.822,413.492341622828,4.440703694902581
month_expanded_2024,train,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,Y3_VHP至RH1接口,43911,390.688,435.253,416.23533463141354,4.367033008046131
month_expanded_2024,train,SYG1_10MAA50CT111A,超高压内缸壁温90%处#1,Y4_VHP缸体与内部蒸汽,43911,539.269,589.65,570.7332919769534,5.475091145183299
