fault,region,target_tag,weight_sigma
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_10XAC10CP104,-0.35
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_10XAC10CT111,-0.55
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_10XAC10CT112,-0.55
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_1A-SEL-SP,-0.85
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_10XAD10CS104-C,-0.85
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_10XAD10CS105-C,-0.85
F1_BFPT进汽不足,小机进汽-通流-转速,SYG1_10XAD10CS106-C,-0.85
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_10XAC10CP104,1.0
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_10XAC10CT111,0.7
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_10XAC10CT112,0.7
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_1A-SEL-SP,-0.3
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_10XAD10CS104-C,-0.3
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_10XAD10CS105-C,-0.3
F2_BFPT排汽真空恶化,小机排汽-凝汽器背压,SYG1_10XAD10CS106-C,-0.3
F3_BFPT调速异常,小机调节系统-转速,SYG1_10XAC10CP104,0.15
F3_BFPT调速异常,小机调节系统-转速,SYG1_10XAC10CT111,0.15
F3_BFPT调速异常,小机调节系统-转速,SYG1_10XAC10CT112,0.15
F3_BFPT调速异常,小机调节系统-转速,SYG1_1A-SEL-SP,1.0
F3_BFPT调速异常,小机调节系统-转速,SYG1_10XAD10CS104-C,1.0
F3_BFPT调速异常,小机调节系统-转速,SYG1_10XAD10CS105-C,1.0
F3_BFPT调速异常,小机调节系统-转速,SYG1_10XAD10CS106-C,1.0
