fault,region,target_tag,weight_sigma
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CP101,1.0
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CP105,1.0
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CP106,1.0
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CP107,1.0
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CP108,1.0
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CP109,1.0
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CT101,0.55
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CT102,0.55
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CT103,0.55
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CT104,0.55
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CL104,0.05
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CL105,0.05
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CL106,0.05
F1_CND1真空恶化,凝汽器汽侧-真空,SYG1_10MAG10CL104-SEL,0.05
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CP101,0.7
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CP105,0.7
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CP106,0.7
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CP107,0.7
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CP108,0.7
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CP109,0.7
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CT101,1.0
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CT102,1.0
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CT103,1.0
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CT104,1.0
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CL104,0.05
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CL105,0.05
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CL106,0.05
F2_CND1循环水不足,循环水侧-换热管束,SYG1_10MAG10CL104-SEL,0.05
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CP101,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CP105,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CP106,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CP107,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CP108,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CP109,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CT101,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CT102,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CT103,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CT104,0.15
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CL104,1.0
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CL105,1.0
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CL106,1.0
F3_CND1热井液位过高,凝汽器热井-液位,SYG1_10MAG10CL104-SEL,1.0
