,SYG1_10MAG10CP101,SYG1_10MAG10CP105,SYG1_10MAG10CP106,SYG1_10MAG10CP107,SYG1_10MAG10CP108,SYG1_10MAG10CP109,SYG1_10MAG10CT101,SYG1_10MAG10CT102,SYG1_10MAG10CT103,SYG1_10MAG10CT104,SYG1_10MAG10CL104,SYG1_10MAG10CL105,SYG1_10MAG10CL106,SYG1_10MAG10CL104-SEL
SYG1_10MAG10CP101,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
SYG1_10MAG10CP105,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CP106,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CP107,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CP108,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CP109,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CT101,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CT102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CT103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CT104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SYG1_10MAG10CL104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
SYG1_10MAG10CL105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SYG1_10MAG10CL106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
SYG1_10MAG10CL104-SEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
