date,start_index,fault,severity,profile,onset,dropped_active_nodes
2024-06-01,0,F0_normal,0.0,none,-1,0
2024-06-01,0,F1_CND1真空恶化,2.108170607689147,sigmoid,15,0
2024-06-01,0,F2_CND1循环水不足,2.0433573721915756,ramp,17,1
2024-06-01,0,F3_CND1热井液位过高,2.486962865921846,sigmoid,22,0
2024-06-01,60,F0_normal,0.0,none,-1,0
2024-06-01,60,F1_CND1真空恶化,2.173754011306224,sigmoid,9,0
2024-06-01,60,F2_CND1循环水不足,2.1347038201117314,ramp,10,3
2024-06-01,60,F3_CND1热井液位过高,2.4758420584942367,ramp,21,0
2024-06-01,120,F0_normal,0.0,none,-1,0
2024-06-01,120,F1_CND1真空恶化,2.248100089556125,ramp,14,1
2024-06-01,120,F2_CND1循环水不足,2.2607317095984465,sigmoid,23,1
2024-06-01,120,F3_CND1热井液位过高,2.7402950963462054,sigmoid,12,0
2024-06-01,180,F0_normal,0.0,none,-1,0
2024-06-01,180,F1_CND1真空恶化,2.106715344480071,sigmoid,11,1
2024-06-01,180,F2_CND1循环水不足,2.979387090555201,ramp,14,1
2024-06-01,180,F3_CND1热井液位过高,2.3305807648065797,sigmoid,14,0
2024-06-01,240,F0_normal,0.0,none,-1,0
2024-06-01,240,F1_CND1真空恶化,2.6261787775368686,ramp,16,1
2024-06-01,240,F2_CND1循环水不足,2.3289625681470474,ramp,17,0
2024-06-01,240,F3_CND1热井液位过高,2.1444126709552567,sigmoid,9,0
2024-06-01,300,F0_normal,0.0,none,-1,0
2024-06-01,300,F1_CND1真空恶化,2.8044926071066367,sigmoid,8,0
2024-06-01,300,F2_CND1循环水不足,2.9471037025621007,sigmoid,21,1
2024-06-01,300,F3_CND1热井液位过高,2.6606956896897103,sigmoid,22,0
2024-06-01,360,F0_normal,0.0,none,-1,0
2024-06-01,360,F1_CND1真空恶化,2.9398537861109046,ramp,15,1
2024-06-01,360,F2_CND1循环水不足,2.694553858456722,ramp,23,2
2024-06-01,360,F3_CND1热井液位过高,2.3183255701232093,ramp,21,1
2024-06-01,420,F0_normal,0.0,none,-1,0
2024-06-01,420,F1_CND1真空恶化,2.7968741578734537,ramp,18,0
2024-06-01,420,F2_CND1循环水不足,2.8737943901144227,sigmoid,8,1
2024-06-01,420,F3_CND1热井液位过高,2.4400482753661437,sigmoid,18,1
2024-06-01,480,F0_normal,0.0,none,-1,0
2024-06-01,480,F1_CND1真空恶化,2.8806668454773607,sigmoid,15,0
2024-06-01,480,F2_CND1循环水不足,2.198806989473481,ramp,19,0
2024-06-01,480,F3_CND1热井液位过高,2.1001348301963274,ramp,19,2
2024-06-01,540,F0_normal,0.0,none,-1,0
2024-06-01,540,F1_CND1真空恶化,2.5079185076684802,ramp,14,0
2024-06-01,540,F2_CND1循环水不足,2.1185033717489645,ramp,12,2
2024-06-01,540,F3_CND1热井液位过高,2.3704058347356094,ramp,12,1
2024-06-01,600,F0_normal,0.0,none,-1,0
2024-06-01,600,F1_CND1真空恶化,2.6016076222498357,sigmoid,10,0
2024-06-01,600,F2_CND1循环水不足,2.4329392540519312,sigmoid,8,0
2024-06-01,600,F3_CND1热井液位过高,2.780728324933304,sigmoid,12,1
2024-06-01,660,F0_normal,0.0,none,-1,0
2024-06-01,660,F1_CND1真空恶化,2.9495684155416027,ramp,12,0
2024-06-01,660,F2_CND1循环水不足,2.6833593548842796,ramp,17,1
2024-06-01,660,F3_CND1热井液位过高,2.462982605850777,ramp,17,1
2024-06-01,720,F0_normal,0.0,none,-1,0
2024-06-01,720,F1_CND1真空恶化,2.1730790473445314,ramp,21,0
2024-06-01,720,F2_CND1循环水不足,2.231455552070048,sigmoid,8,0
2024-06-01,720,F3_CND1热井液位过高,2.4399951025924973,sigmoid,16,0
2024-06-01,780,F0_normal,0.0,none,-1,0
2024-06-01,780,F1_CND1真空恶化,2.4351999206904438,ramp,14,1
2024-06-01,780,F2_CND1循环水不足,2.58448912109933,sigmoid,22,0
2024-06-01,780,F3_CND1热井液位过高,2.8887712328935122,sigmoid,22,0
2024-06-01,840,F0_normal,0.0,none,-1,0
2024-06-01,840,F1_CND1真空恶化,2.4311911090787826,ramp,14,1
2024-06-01,840,F2_CND1循环水不足,2.007306356304227,ramp,10,0
2024-06-01,840,F3_CND1热井液位过高,2.137278598573837,sigmoid,12,3
2024-06-01,900,F0_normal,0.0,none,-1,0
2024-06-01,900,F1_CND1真空恶化,2.2760190501319952,ramp,22,0
2024-06-01,900,F2_CND1循环水不足,2.524495620847053,sigmoid,19,2
2024-06-01,900,F3_CND1热井液位过高,2.10986743719162,sigmoid,11,1
2024-06-01,960,F0_normal,0.0,none,-1,0
2024-06-01,960,F1_CND1真空恶化,2.6624086800896927,sigmoid,10,0
2024-06-01,960,F2_CND1循环水不足,2.750892498391529,sigmoid,11,1
2024-06-01,960,F3_CND1热井液位过高,2.138466421980064,ramp,13,1
2024-06-01,1020,F0_normal,0.0,none,-1,0
2024-06-01,1020,F1_CND1真空恶化,2.905327714734213,ramp,15,1
2024-06-01,1020,F2_CND1循环水不足,2.8019213999384682,sigmoid,11,0
2024-06-01,1020,F3_CND1热井液位过高,2.75065238229086,sigmoid,21,0
2024-06-01,1080,F0_normal,0.0,none,-1,0
2024-06-01,1080,F1_CND1真空恶化,2.913789164815246,sigmoid,23,1
2024-06-01,1080,F2_CND1循环水不足,2.3468441884591154,ramp,11,3
2024-06-01,1080,F3_CND1热井液位过高,2.2350746950129814,ramp,11,0
2024-06-01,1140,F0_normal,0.0,none,-1,0
2024-06-01,1140,F1_CND1真空恶化,2.5660849775257235,ramp,8,2
2024-06-01,1140,F2_CND1循环水不足,2.631746339995307,ramp,21,1
2024-06-01,1140,F3_CND1热井液位过高,2.9824412707167918,sigmoid,9,0
2024-06-01,1200,F0_normal,0.0,none,-1,0
2024-06-01,1200,F1_CND1真空恶化,2.342283647314631,sigmoid,10,0
2024-06-01,1200,F2_CND1循环水不足,2.568911839861897,ramp,8,1
2024-06-01,1200,F3_CND1热井液位过高,2.2607494727484765,ramp,22,0
2024-06-01,1260,F0_normal,0.0,none,-1,0
2024-06-01,1260,F1_CND1真空恶化,2.8275314409894072,sigmoid,10,0
2024-06-01,1260,F2_CND1循环水不足,2.934854318667317,sigmoid,8,1
2024-06-01,1260,F3_CND1热井液位过高,2.224306095157586,ramp,20,0
2024-06-01,1320,F0_normal,0.0,none,-1,0
2024-06-01,1320,F1_CND1真空恶化,2.0030897845817512,ramp,19,0
2024-06-01,1320,F2_CND1循环水不足,2.0272623737661126,ramp,21,0
2024-06-01,1320,F3_CND1热井液位过高,2.60065469154758,ramp,17,0
2024-06-02,1417,F0_normal,0.0,none,-1,0
2024-06-02,1417,F1_CND1真空恶化,2.812689540350336,ramp,11,2
2024-06-02,1417,F2_CND1循环水不足,2.533276644698172,sigmoid,14,0
2024-06-02,1417,F3_CND1热井液位过高,2.033005291726873,ramp,16,2
2024-06-02,1477,F0_normal,0.0,none,-1,0
2024-06-02,1477,F1_CND1真空恶化,2.230297846633367,sigmoid,18,2
2024-06-02,1477,F2_CND1循环水不足,2.250395700934451,sigmoid,13,0
2024-06-02,1477,F3_CND1热井液位过高,2.30245201013747,sigmoid,8,0
2024-06-02,1537,F0_normal,0.0,none,-1,0
2024-06-02,1537,F1_CND1真空恶化,2.663599953727782,ramp,15,1
2024-06-02,1537,F2_CND1循环水不足,2.6387332214723793,sigmoid,11,1
2024-06-02,1537,F3_CND1热井液位过高,2.2873197698343732,sigmoid,16,0
2024-06-02,1597,F0_normal,0.0,none,-1,0
2024-06-02,1597,F1_CND1真空恶化,2.4722831138035017,ramp,8,0
2024-06-02,1597,F2_CND1循环水不足,2.950107349729928,sigmoid,14,2
2024-06-02,1597,F3_CND1热井液位过高,2.797569211615018,ramp,23,1
2024-06-02,1657,F0_normal,0.0,none,-1,0
2024-06-02,1657,F1_CND1真空恶化,2.0551236072475767,sigmoid,8,1
2024-06-02,1657,F2_CND1循环水不足,2.436037805918617,sigmoid,13,0
2024-06-02,1657,F3_CND1热井液位过高,2.8612136546803524,ramp,8,0
2024-06-02,1717,F0_normal,0.0,none,-1,0
2024-06-02,1717,F1_CND1真空恶化,2.949845063010451,ramp,18,0
2024-06-02,1717,F2_CND1循环水不足,2.084035259661672,ramp,16,0
2024-06-02,1717,F3_CND1热井液位过高,2.791285010994512,ramp,21,0
2024-06-02,1777,F0_normal,0.0,none,-1,0
2024-06-02,1777,F1_CND1真空恶化,2.775625153534168,sigmoid,21,1
2024-06-02,1777,F2_CND1循环水不足,2.8335628239808437,ramp,13,0
2024-06-02,1777,F3_CND1热井液位过高,2.040925844109556,ramp,18,1
2024-06-02,1837,F0_normal,0.0,none,-1,0
2024-06-02,1837,F1_CND1真空恶化,2.1758391315366126,ramp,18,0
2024-06-02,1837,F2_CND1循环水不足,2.2514289436615327,sigmoid,23,1
2024-06-02,1837,F3_CND1热井液位过高,2.4294751863420223,sigmoid,16,0
2024-06-02,1897,F0_normal,0.0,none,-1,0
2024-06-02,1897,F1_CND1真空恶化,2.4953392298725565,sigmoid,11,3
