fault,region,target_tag,weight_sigma
F1_H1换热能力下降,高加汽侧-疏水-给水出口,SYG1_10LAD10CP101,0.1
F1_H1换热能力下降,高加汽侧-疏水-给水出口,SYG1_10LAD10CL101-CAL,0.05
F1_H1换热能力下降,高加汽侧-疏水-给水出口,SYG1_10LAD10CL102-CAL,0.05
F1_H1换热能力下降,高加汽侧-疏水-给水出口,SYG1_10LAD10CL103-CAL,0.05
F1_H1换热能力下降,高加汽侧-疏水-给水出口,SYG1_10LCH11CT101,0.3
F1_H1换热能力下降,高加汽侧-疏水-给水出口,SYG1_10LAB61CT101,-1.0
F2_H1汽侧泄漏,一级抽汽入口-高加汽侧,SYG1_10LAD10CP101,-1.0
F2_H1汽侧泄漏,一级抽汽入口-高加汽侧,SYG1_10LAD10CL101-CAL,-0.25
F2_H1汽侧泄漏,一级抽汽入口-高加汽侧,SYG1_10LAD10CL102-CAL,-0.3
F2_H1汽侧泄漏,一级抽汽入口-高加汽侧,SYG1_10LAD10CL103-CAL,-0.25
F2_H1汽侧泄漏,一级抽汽入口-高加汽侧,SYG1_10LCH11CT101,-0.45
F2_H1汽侧泄漏,一级抽汽入口-高加汽侧,SYG1_10LAB61CT101,-0.55
F3_H1水位过高,高加壳侧水位-换热区,SYG1_10LAD10CP101,0.15
F3_H1水位过高,高加壳侧水位-换热区,SYG1_10LAD10CL101-CAL,0.9
F3_H1水位过高,高加壳侧水位-换热区,SYG1_10LAD10CL102-CAL,1.0
F3_H1水位过高,高加壳侧水位-换热区,SYG1_10LAD10CL103-CAL,0.95
F3_H1水位过高,高加壳侧水位-换热区,SYG1_10LCH11CT101,-0.25
F3_H1水位过高,高加壳侧水位-换热区,SYG1_10LAB61CT101,-0.4
