fault,region,target_tag,weight_sigma
F1_L6换热能力下降,L6汽侧-疏水-出水接口,SYG1_10LCA80CT101,-1.0
F1_L6换热能力下降,L6汽侧-疏水-出水接口,SYG1_10LCA80CT102,-1.0
F1_L6换热能力下降,L6汽侧-疏水-出水接口,SYG1_10LCC60CT101,0.3
F1_L6换热能力下降,L6汽侧-疏水-出水接口,SYG1_10LCC60CL101,0.05
F1_L6换热能力下降,L6汽侧-疏水-出水接口,SYG1_10LCC60CL102,0.05
F1_L6换热能力下降,L6汽侧-疏水-出水接口,SYG1_10LCC60CL103,0.05
F2_L6汽侧供汽不足,L6抽汽入口-汽侧,SYG1_10LCA80CT101,-0.7
F2_L6汽侧供汽不足,L6抽汽入口-汽侧,SYG1_10LCA80CT102,-0.7
F2_L6汽侧供汽不足,L6抽汽入口-汽侧,SYG1_10LCC60CT101,-0.55
F2_L6汽侧供汽不足,L6抽汽入口-汽侧,SYG1_10LCC60CL101,-0.25
F2_L6汽侧供汽不足,L6抽汽入口-汽侧,SYG1_10LCC60CL102,-0.25
F2_L6汽侧供汽不足,L6抽汽入口-汽侧,SYG1_10LCC60CL103,-0.25
F3_L6水位过高,L6壳侧水位-换热区,SYG1_10LCA80CT101,-0.4
F3_L6水位过高,L6壳侧水位-换热区,SYG1_10LCA80CT102,-0.4
F3_L6水位过高,L6壳侧水位-换热区,SYG1_10LCC60CT101,-0.25
F3_L6水位过高,L6壳侧水位-换热区,SYG1_10LCC60CL101,1.0
F3_L6水位过高,L6壳侧水位-换热区,SYG1_10LCC60CL102,1.0
F3_L6水位过高,L6壳侧水位-换热区,SYG1_10LCC60CL103,1.0
