device,model,graph,test,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
H1,AE,KG,iid,3,0.9479166666666666,0.006259637631013891,0.9493029963776362,0.006671989926704053,0.9479166666666666,0.006259637631013891,0.9482524573667527,0.006386050182976043
H1,AE,KG,ood_profile,3,0.9068287037037037,0.009871945665064783,0.9177241206922114,0.008442051414989177,0.9068287037037037,0.009871945665064814,0.9081396254192526,0.00974626749190638
H1,AE,KG,weak,3,0.47222222222222227,0.006259637631013873,0.7264584504169687,0.014572959832851172,0.47222222222222215,0.0062596376310139175,0.46793478189073295,0.008751668883884269
H1,CNN,KG,iid,3,0.9519675925925926,0.003614003471295392,0.953068207181485,0.0044270778422174795,0.9519675925925927,0.0036140034712953076,0.95219812471479,0.0037911292253022394
H1,CNN,KG,ood_profile,3,0.9415509259259259,0.007228006942590726,0.9437780613451747,0.007626695250031701,0.9415509259259259,0.007228006942590731,0.9420578230681108,0.007273253199937462
H1,CNN,KG,weak,3,0.4681712962962963,0.02937740774652098,0.7313691276887359,0.018911556773975918,0.4681712962962963,0.02937740774652094,0.4596987918635069,0.037133681042753754
H1,GCN-NodeAware,Corr,iid,3,0.9537037037037037,0.005011721086715507,0.9540008339378105,0.0044168425668393895,0.9537037037037037,0.005011721086715507,0.9537405409893589,0.004799946920647076
H1,GCN-NodeAware,Corr,ood_profile,3,0.9369212962962963,0.002651953527173567,0.9380101002502562,0.002015729581715857,0.9369212962962962,0.0026519535271736093,0.9372448215212096,0.0024330995932419306
H1,GCN-NodeAware,Corr,weak,3,0.46875,0.04241941570441186,0.7038440757849092,0.011556043143745483,0.46875,0.04241941570441186,0.4624725051820053,0.05440529498461692
H1,GCN-NodeAware,Identity,iid,3,0.9548611111111112,0.0034722222222222376,0.9552369915668355,0.0033055978440945564,0.9548611111111112,0.003472222222222404,0.9549548364661865,0.003464169231542156
H1,GCN-NodeAware,Identity,ood_profile,3,0.9380787037037037,0.0072280069425907575,0.9392831651050105,0.006785375385024246,0.9380787037037037,0.0072280069425907575,0.9384016718759608,0.007072563288347718
H1,GCN-NodeAware,Identity,weak,3,0.4537037037037037,0.026003057799376117,0.7105868287896282,0.013288234558174995,0.45370370370370366,0.02600305779937617,0.4446347697015957,0.033187247506814115
H1,GCN-NodeAware,KG,iid,3,0.954861111111111,0.003007032652029274,0.9554192688105134,0.0031100730549350167,0.9548611111111112,0.0030070326520292502,0.9549437653493893,0.0030061502629131257
H1,GCN-NodeAware,KG,ood_profile,3,0.9351851851851851,0.004369117150040948,0.936970285653843,0.004344139971150179,0.9351851851851851,0.00436911715004093,0.9356708231786733,0.004247178557358362
H1,GCN-NodeAware,KG,weak,3,0.4774305555555555,0.03027013155236578,0.7215880759777065,0.011400971288461029,0.4774305555555555,0.03027013155236577,0.4721841233608393,0.038625291041174875
H2,AE,KG,iid,3,0.9965277777777777,0.0017361111111110772,0.9965674696898126,0.0017123423408212004,0.9965277777777777,0.0017361111111110772,0.9965235698322364,0.0017423218832667308
H2,AE,KG,ood_profile,3,0.9560185185185185,0.011295845657374489,0.9605899777398315,0.009494889783034038,0.9560185185185185,0.011295845657374489,0.9559121705265367,0.011455434845100811
H2,AE,KG,weak,3,0.5746527777777778,0.01377995474512809,0.8234590076673284,0.0015507164349324177,0.5746527777777778,0.01377995474512809,0.585667513300134,0.015605721654077464
H2,CNN,KG,iid,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
H2,CNN,KG,ood_profile,3,0.9965277777777777,0.0017361111111110772,0.9965830545727975,0.001688964648257118,0.9965277777777777,0.0017361111111110772,0.9965275265810766,0.0017363832477695189
H2,CNN,KG,weak,3,0.5034722222222222,0.019718431756250973,0.8278408405257007,0.0018335648214256853,0.5034722222222222,0.01971843175625094,0.4904829249516887,0.029287583924662946
H2,GCN-NodeAware,Corr,iid,3,0.9994212962962963,0.0010023442173431288,0.9994252873563219,0.000995431498602773,0.9994212962962963,0.0010023442173431288,0.9994212893191711,0.001002356302078597
H2,GCN-NodeAware,Corr,ood_profile,3,0.9803240740740741,0.016131203547183285,0.9820487704969597,0.013605454731041211,0.9803240740740741,0.016131203547183264,0.9803188305299976,0.01617764794205635
H2,GCN-NodeAware,Corr,weak,3,0.5370370370370371,0.06789356192621508,0.8212689697379177,0.017177461962645107,0.5370370370370371,0.06789356192621508,0.5347537790188998,0.07597474228293155
H2,GCN-NodeAware,Identity,iid,3,0.9994212962962963,0.0010023442173431288,0.9994252873563219,0.000995431498602773,0.9994212962962963,0.0010023442173431288,0.9994212893191711,0.001002356302078565
H2,GCN-NodeAware,Identity,ood_profile,3,0.9942129629629629,0.0020046884346861774,0.9943111158864584,0.001961929754716945,0.9942129629629629,0.0020046884346861774,0.9942245962498907,0.0019997458004338206
