device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
H2,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9930432474613508,27,0.1888564974069595,0.9982638888888888,0.9982758620689656,0.9982638888888888,0.998263867957513
H2,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9930432474613508,27,0.1888564974069595,0.9670138888888888,0.9694631016963748,0.9670138888888888,0.9670541326662634
H2,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9930432474613508,27,0.1888564974069595,0.5642361111111112,0.8227321455574518,0.5642361111111112,0.574763650733308
H2,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9913073251777996,30,0.1873963773250579,0.9947916666666666,0.9948512045347188,0.9947916666666666,0.9947792312184828
H2,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9913073251777996,30,0.1873963773250579,0.9444444444444444,0.9505763479449714,0.9444444444444444,0.9441670905549694
H2,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9913073251777996,30,0.1873963773250579,0.5902777777777778,0.8224052319390169,0.5902777777777778,0.6035439318642105
H2,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9878040372139456,11,0.1982035189867019,0.9965277777777778,0.9965753424657534,0.9965277777777778,0.9965276103207138
H2,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9878040372139456,11,0.1982035189867019,0.9565972222222222,0.9617304835781482,0.9565972222222222,0.9565152883583772
H2,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9878040372139456,11,0.1982035189867019,0.5694444444444444,0.8252396455055163,0.5694444444444444,0.5786949573028833
H2,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.998263867957513,22,,1.0,1.0,1.0,1.0
H2,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.998263867957513,22,,0.9965277777777778,0.9965753424657534,0.9965277777777778,0.9965276103207138
H2,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.998263867957513,22,,0.5121527777777778,0.8258143859859619,0.5121527777777777,0.5032047731764904
H2,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,1.0,29,,1.0,1.0,1.0,1.0
H2,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,1.0,29,,0.9982638888888888,0.9982758620689656,0.9982638888888888,0.998263867957513
H2,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,1.0,29,,0.4809027777777778,0.828322963800905,0.4809027777777778,0.4569857058553921
H2,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,1.0,15,,1.0,1.0,1.0,1.0
H2,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,1.0,15,,0.9947916666666666,0.9948979591836736,0.9947916666666666,0.9947911014650028
H2,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,1.0,15,,0.5173611111111112,0.8293851717902351,0.5173611111111112,0.5112582958231837
H2,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,iid,0.998263867957513,11,0.417616069316864,1.0,1.0,1.0,1.0
H2,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.998263867957513,11,0.417616069316864,0.9618055555555556,0.9664457070707072,0.9618055555555556,0.9617458010694696
H2,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,weak,0.998263867957513,11,0.417616069316864,0.53125,0.8163809044400157,0.53125,0.5292750647426385
H2,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.998263867957513,18,0.4295730292797088,1.0,1.0,1.0,1.0
H2,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.998263867957513,18,0.4295730292797088,0.9878472222222222,0.9882638888888888,0.9878472222222224,0.9878738068024476
