device,class,precision,recall,f1,support
H1,F0_normal,0.9225352112676056,0.9097222222222222,0.916083916083916,144
H1,F1_H1换热能力下降,0.9517241379310345,0.9583333333333334,0.9550173010380624,144
H1,F2_H1汽侧泄漏,0.9583333333333334,0.9583333333333334,0.9583333333333334,144
H1,F3_H1水位过高,0.993103448275862,1.0,0.9965397923875432,144
H2,F0_normal,1.0,1.0,1.0,144
H2,F1_H2换热能力下降,1.0,1.0,1.0,144
H2,F2_H2汽侧供汽不足,1.0,1.0,1.0,144
H2,F3_H2水位过高,1.0,1.0,1.0,144
H3,F0_normal,0.9455782312925171,0.9652777777777778,0.9553264604810997,144
H3,F1_H3换热能力下降,0.958041958041958,0.9513888888888888,0.9547038327526133,144
H3,F2_H3汽侧供汽不足,0.9861111111111112,0.9861111111111112,0.9861111111111112,144
H3,F3_H3水位过高,1.0,0.9861111111111112,0.993006993006993,144
H4,F0_normal,0.9856115107913669,0.9513888888888888,0.9681978798586571,144
H4,F1_H4换热能力下降,0.9090909090909091,0.9722222222222222,0.9395973154362416,144
H4,F2_H4汽侧供汽不足,0.9787234042553191,0.9583333333333334,0.968421052631579,144
H4,F3_H4水位过高,0.9788732394366197,0.9652777777777778,0.972027972027972,144
L6,F0_normal,0.971830985915493,0.9583333333333334,0.965034965034965,144
L6,F1_L6换热能力下降,0.9794520547945206,0.9930555555555556,0.9862068965517242,144
L6,F2_L6汽侧供汽不足,0.9724137931034482,0.9791666666666666,0.9757785467128027,144
L6,F3_L6水位过高,1.0,0.9930555555555556,0.9965156794425087,144
