device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
H1,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.951702835553612,24,0.1990371644496917,0.9548611111111112,0.95641139071796,0.9548611111111112,0.9552696690097956
H1,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.951702835553612,24,0.1990371644496917,0.9097222222222222,0.9219349802301046,0.9097222222222222,0.9109546790314128
H1,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.951702835553612,24,0.1990371644496917,0.4652777777777778,0.734628801431127,0.4652777777777777,0.4581737385799502
H1,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9568183260890576,9,0.2039455622434616,0.9461805555555556,0.9483214431799042,0.9461805555555556,0.9467061696914668
H1,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9568183260890576,9,0.2039455622434616,0.9149305555555556,0.9232324763521708,0.9149305555555556,0.9161685351701726
H1,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9568183260890576,9,0.2039455622434616,0.4774305555555556,0.7351131799926981,0.4774305555555556,0.4750809675474527
H1,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9450126172287384,21,0.2007108777761459,0.9427083333333334,0.9431761552350444,0.9427083333333334,0.9427815333989956
H1,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9450126172287384,21,0.2007108777761459,0.8958333333333334,0.9080049054943587,0.8958333333333333,0.8972956620561723
H1,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9450126172287384,21,0.2007108777761459,0.4739583333333333,0.7096333698270807,0.4739583333333332,0.470549639544796
H1,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9688974875156632,6,,0.9548611111111112,0.9571027821380442,0.9548611111111112,0.9553274399987448
H1,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9688974875156632,6,,0.9496527777777778,0.952461931821584,0.9496527777777778,0.950230596852138
H1,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9688974875156632,6,,0.4357638888888889,0.7530278926715452,0.4357638888888889,0.4193661884839064
H1,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9723042502389454,9,,0.9479166666666666,0.9483323406789756,0.9479166666666669,0.947982391782832
H1,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9723042502389454,9,,0.9392361111111112,0.9407046983747446,0.939236111111111,0.9396461118511878
H1,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9723042502389454,9,,0.4930555555555556,0.7229522965812161,0.4930555555555555,0.4924695013637856
H1,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9705956332350216,8,,0.953125,0.953769498727435,0.953125,0.9532845423627933
H1,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9705956332350216,8,,0.9357638888888888,0.9381675538391956,0.935763888888889,0.9362967605010069
H1,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9705956332350216,8,,0.4756944444444444,0.7181271938134461,0.4756944444444444,0.4672606857428286
H1,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,iid,0.968766956122502,8,0.714997410774231,0.9479166666666666,0.9489011828834248,0.9479166666666666,0.948198047075338
H1,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.968766956122502,8,0.714997410774231,0.9340277777777778,0.936082951820362,0.9340277777777776,0.9346531845598058
H1,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,weak,0.968766956122502,8,0.714997410774231,0.4201388888888889,0.6907674701179677,0.4201388888888889,0.3999851779794355
H1,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.9722533467817672,7,0.7310703992843628,0.9565972222222222,0.9564900987279604,0.9565972222222222,0.9565039552705892
H1,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9722533467817672,7,0.7310703992843628,0.9392361111111112,0.940104046060508,0.939236111111111,0.9394800744199782
H1,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.9722533467817672,7,0.7310703992843628,0.4982638888888889,0.7080815263168204,0.4982638888888889,0.4993230018174036
H1,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,iid,0.970411666321274,10,0.7362390756607056,0.9565972222222222,0.9566112202020464,0.9565972222222222,0.9565196206221496
H1,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.970411666321274,10,0.7362390756607056,0.9375,0.9378433028698986,0.9375,0.9376012055838449
H1,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,weak,0.970411666321274,10,0.7362390756607056,0.4878472222222222,0.7126832309199395,0.4878472222222222,0.4881093357491766
H1,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.9687496232352336,8,0.7281423211097717,0.9513888888888888,0.9519589373378188,0.9513888888888888,0.9514941739847688
H1,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9687496232352336,8,0.7281423211097717,0.9322916666666666,0.9342468598534188,0.9322916666666666,0.9328578073567526
H1,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.9687496232352336,8,0.7281423211097717,0.4322916666666667,0.7081071855391419,0.4322916666666666,0.4164771844414734
H1,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,iid,0.970580093456718,6,0.7409370541572571,0.9583333333333334,0.9585694611694732,0.9583333333333336,0.9584225018305008
H1,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.970580093456718,6,0.7409370541572571,0.9461805555555556,0.9469992058765138,0.9461805555555556,0.9463669004021168
H1,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,weak,0.970580093456718,6,0.7409370541572571,0.4826388888888889,0.7249402199016973,0.4826388888888889,0.4812248082171637
H1,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9671072607418252,12,0.7449625134468079,0.9548611111111112,0.9551825761932144,0.9548611111111112,0.95494783358329
H1,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9671072607418252,12,0.7449625134468079,0.9357638888888888,0.936603429585099,0.9357638888888888,0.9359803078690128
H1,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9671072607418252,12,0.7449625134468079,0.4461805555555556,0.6987130809280453,0.4461805555555555,0.43620231644615
H1,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9686815625150456,17,0.7260586619377136,0.9513888888888888,0.9519310215716354,0.951388888888889,0.9514789700338318
H1,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9686815625150456,17,0.7260586619377136,0.9305555555555556,0.9320015651595736,0.9305555555555556,0.931066759116815
H1,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9686815625150456,17,0.7260586619377136,0.4913194444444444,0.7170083292394885,0.4913194444444444,0.4873445224181014
H1,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9722533467817672,6,0.7366468906402588,0.9565972222222222,0.9564240327019587,0.9565972222222222,0.9564935857107136
H1,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9722533467817672,6,0.7366468906402588,0.9392361111111112,0.9400508124685696,0.939236111111111,0.9394358901660588
H1,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9722533467817672,6,0.7366468906402588,0.4982638888888889,0.7131890959854559,0.4982638888888888,0.5009293258717438
H1,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9688668086855964,13,0.739403486251831,0.9565972222222222,0.9579027521579458,0.9565972222222222,0.9568587403036226
H1,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9688668086855964,13,0.739403486251831,0.9357638888888888,0.938858479333386,0.9357638888888888,0.9365098202531464
H1,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9688668086855964,13,0.739403486251831,0.4427083333333333,0.7345668027081751,0.4427083333333333,0.4282785217926728
L6,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9687967719147,42,0.2917402684688568,0.9548611111111112,0.955827180474671,0.9548611111111112,0.9549730555624684
L6,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9687967719147,42,0.2917402684688568,0.9270833333333334,0.9330723198370257,0.9270833333333331,0.9280874769239742
L6,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9687967719147,42,0.2917402684688568,0.4496527777777778,0.6851814851814853,0.4496527777777778,0.4307408264212063
L6,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9584215431954796,15,0.2976782023906708,0.9600694444444444,0.9611046048925976,0.9600694444444444,0.9601220940947748
L6,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9584215431954796,15,0.2976782023906708,0.9340277777777778,0.939484513243975,0.9340277777777778,0.9343037122085806
L6,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9584215431954796,15,0.2976782023906708,0.4496527777777778,0.6835210104701005,0.4496527777777778,0.4297901310729627
L6,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.979202461051704,52,0.2963605225086212,0.9618055555555556,0.961851941162286,0.9618055555555556,0.9618171515378032
L6,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.979202461051704,52,0.2963605225086212,0.9340277777777778,0.93712663357829,0.9340277777777778,0.934875372919724
L6,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.979202461051704,52,0.2963605225086212,0.4618055555555556,0.6849100484929337,0.4618055555555556,0.4527866665020182
L6,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9878926623837684,23,,0.9670138888888888,0.967122784904475,0.9670138888888888,0.9670054719754018
L6,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9878926623837684,23,,0.9513888888888888,0.9530096129360835,0.9513888888888888,0.9517372867624546
L6,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9878926623837684,23,,0.4444444444444444,0.6812281508179892,0.4444444444444444,0.4274202353611633
L6,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9843981273621396,13,,0.96875,0.9688744778004468,0.96875,0.968759893847318
L6,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9843981273621396,13,,0.9652777777777778,0.965416780322939,0.9652777777777776,0.9653185529217554
L6,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9843981273621396,13,,0.4201388888888889,0.681168040317077,0.4201388888888888,0.3975363319406922
L6,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9843986733740272,9,,0.9618055555555556,0.9621825396825396,0.9618055555555556,0.9618348340682344
L6,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9843986733740272,9,,0.9357638888888888,0.9393374239652046,0.935763888888889,0.9361560172523288
L6,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9843986733740272,9,,0.3836805555555556,0.668812550967455,0.3836805555555555,0.3465700669370469
L6,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,iid,0.9757527926177756,5,0.5466801524162292,0.9739583333333334,0.974484126984127,0.9739583333333334,0.974060968653524
L6,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9757527926177756,5,0.5466801524162292,0.9496527777777778,0.9532269209508016,0.9496527777777778,0.9502345927731716
L6,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,weak,0.9757527926177756,5,0.5466801524162292,0.3767361111111111,0.714943032427695,0.3767361111111111,0.3295716643991376
L6,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.973937986073431,8,0.5485880374908447,0.9774305555555556,0.9774513163059604,0.9774305555555556,0.977411632256214
L6,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.973937986073431,8,0.5485880374908447,0.9496527777777778,0.9513621498134368,0.9496527777777778,0.9500690313775032
L6,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.973937986073431,8,0.5485880374908447,0.4253472222222222,0.6819445762801244,0.4253472222222222,0.4029802765468565
L6,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,iid,0.9791768778237796,9,0.5511642694473267,0.9809027777777778,0.9809442270058708,0.9809027777777778,0.9808523555123848
L6,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9791768778237796,9,0.5511642694473267,0.9600694444444444,0.96121360920417,0.9600694444444444,0.9603518137427712
L6,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,weak,0.9791768778237796,9,0.5511642694473267,0.4305555555555556,0.6930369401765283,0.4305555555555556,0.4100334747483431
L6,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.973992229237494,5,0.550390899181366,0.9809027777777778,0.981217547596858,0.9809027777777776,0.9809603263685948
L6,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.973992229237494,5,0.550390899181366,0.9461805555555556,0.9507412802298668,0.9461805555555556,0.9468752510948392
L6,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.973992229237494,5,0.550390899181366,0.3715277777777778,0.6943534222255798,0.3715277777777777,0.322076625268276
L6,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,iid,0.9739877828409016,4,0.5521115660667419,0.9791666666666666,0.979177310512927,0.9791666666666669,0.9791543180210128
