device,class,precision,recall,f1,support
H1,F0_normal,0.9225352112676056,0.9097222222222222,0.916083916083916,144
H1,F1_H1换热能力下降,0.9517241379310345,0.9583333333333334,0.9550173010380624,144
H1,F2_H1汽侧泄漏,0.9583333333333334,0.9583333333333334,0.9583333333333334,144
H1,F3_H1水位过高,0.993103448275862,1.0,0.9965397923875432,144
L6,F0_normal,0.971830985915493,0.9583333333333334,0.965034965034965,144
L6,F1_L6换热能力下降,0.9794520547945206,0.9930555555555556,0.9862068965517242,144
L6,F2_L6汽侧供汽不足,0.9724137931034482,0.9791666666666666,0.9757785467128027,144
L6,F3_L6水位过高,1.0,0.9930555555555556,0.9965156794425087,144
BFPT,F0_normal,0.9416058394160584,0.8958333333333334,0.9181494661921709,144
BFPT,F1_BFPT进汽不足,0.9463087248322147,0.9791666666666666,0.962457337883959,144
BFPT,F2_BFPT排汽真空恶化,0.959731543624161,0.9930555555555556,0.9761092150170648,144
BFPT,F3_BFPT调速异常,0.9787234042553191,0.9583333333333334,0.968421052631579,144
CND1,F0_normal,0.9851851851851852,0.9236111111111112,0.953405017921147,144
CND1,F1_CND1真空恶化,0.9466666666666667,0.9861111111111112,0.9659863945578231,144
CND1,F2_CND1循环水不足,0.9859154929577465,0.9722222222222222,0.979020979020979,144
CND1,F3_CND1热井液位过高,0.9463087248322147,0.9791666666666666,0.962457337883959,144
