fault,region,target_tag,weight_sigma
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10MAA50CP101,0.85
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10MAA50CP102,0.75
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10MAA50CP103,0.65
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10MAA50CT121A,0.18
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10MAA50CT122A,0.18
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10MAA50CT123A,0.18
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBC01CP101,0.28
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBC02CP101,0.28
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBC20CT101,0.18
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBC20CT103,0.18
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBC20CT104,0.18
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBB21CP101,0.12
F1_VHP通流侵蚀,VHP本体-排汽-RH1冷端接口,SYG1_10LBB22CP101,0.12
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10MAA50CP101,-0.24
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10MAA50CP102,-0.22
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10MAA50CP103,-0.18
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10MAA50CT121A,0.62
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10MAA50CT122A,0.58
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10MAA50CT123A,0.55
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBC01CT101,0.48
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBC02CT101,0.48
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBQ10CP101,-0.2
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBQ10CP102,-0.17
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBC20CT101,0.38
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBC20CT103,0.35
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBC20CT104,0.35
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBB21CT101,0.22
F2_VHP汽封泄漏,VHP本体-排汽-抽汽-RH1接口,SYG1_10LBB22CT101,0.22
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CP101,-0.25
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT101A,-0.08
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT102,-0.1
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT103,-0.1
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT104,-0.34
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT105,-0.34
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CP102,-0.95
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT106,-0.42
F3_一级抽汽支路泄漏,一级抽汽口-逆止门-1号高加入口,SYG1_10MAA50CP102,-0.08
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CP101,0.38
F4_一级抽汽逆止门堵塞,一级抽汽口-逆止门-1号高加入口,SYG1_10LBQ10CT101A,0.12
