,SYG1_10MAA50CP101,SYG1_10MAA50CP102,SYG1_10MAA50CP103,SYG1_10MAA50CT121A,SYG1_10MAA50CT122A,SYG1_10MAA50CT123A,SYG1_10LBC01CP101,SYG1_10LBC02CP101,SYG1_10LBC01CT101,SYG1_10LBC02CT101,SYG1_10LBQ10CP101,SYG1_10LBQ10CT101A,SYG1_10LBQ10CT102,SYG1_10LBQ10CT103,SYG1_10LBQ10CT104,SYG1_10LBQ10CT105,SYG1_10LBQ10CP102,SYG1_10LBQ10CT106,SYG1_10LBC20CT101,SYG1_10LBC20CT103,SYG1_10LBC20CT104,SYG1_10MAA50CT111A,SYG1_10MAA50CT112A,SYG1_10MAA50CT131A,SYG1_10LBB21CP101,SYG1_10LBB21CP102,SYG1_10LBB21CP103,SYG1_10LBB21CT101,SYG1_10LBB21CT102,SYG1_10LBB21CT103,SYG1_10LBB22CP101,SYG1_10LBB22CP102,SYG1_10LBB22CP103,SYG1_10LBB22CT101,SYG1_10LBB22CT102,SYG1_10LBB22CT103
SYG1_10MAA50CP101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10MAA50CP102,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10MAA50CP103,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10MAA50CT121A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10MAA50CT122A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10MAA50CT123A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10LBC01CP101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10LBC02CP101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SYG1_10LBC01CT101,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYG1_10LBC02CT101,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
