tag,source
SYG1_10MAA50CP101,VHP
SYG1_10MAA50CP102,VHP
SYG1_10MAA50CP103,VHP
SYG1_10MAA50CT121A,VHP
SYG1_10MAA50CT122A,VHP
SYG1_10MAA50CT123A,VHP
SYG1_10LBC01CP101,VHP
SYG1_10LBC02CP101,VHP
SYG1_10LBC01CT101,VHP
SYG1_10LBC02CT101,VHP
SYG1_10LBQ10CP101,VHP
SYG1_10LBQ10CT101A,VHP
SYG1_10LBQ10CT102,VHP
SYG1_10LBQ10CT103,VHP
SYG1_10LBQ10CT104,VHP
SYG1_10LBQ10CT105,VHP
SYG1_10LBQ10CP102,VHP
SYG1_10LBQ10CT106,VHP
SYG1_10LBC20CT101,VHP
SYG1_10LBC20CT103,VHP
SYG1_10LBC20CT104,VHP
SYG1_10MAA50CT111A,VHP
SYG1_10MAA50CT112A,VHP
SYG1_10MAA50CT131A,VHP
SYG1_10LBB21CP101,RH1
SYG1_10LBB21CP102,RH1
SYG1_10LBB21CP103,RH1
SYG1_10LBB21CT101,RH1
SYG1_10LBB21CT102,RH1
SYG1_10LBB21CT103,RH1
SYG1_10LBB22CP101,RH1
SYG1_10LBB22CP102,RH1
SYG1_10LBB22CP103,RH1
SYG1_10LBB22CT101,RH1
SYG1_10LBB22CT102,RH1
SYG1_10LBB22CT103,RH1
