stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,123,1.0,False,64,128,0.05,0.0015,False,iid,0.947056229499898,24,0.207155168056488,0.9428571428571428,0.9449279851357708,0.9428571428571428,0.9434067651315624
final,GCN-NodeAware,KG,123,1.0,False,64,128,0.05,0.0015,False,ood_profile,0.947056229499898,24,0.207155168056488,0.7928571428571428,0.8334851454564592,0.7928571428571429,0.7995231898071857
final,GCN-NodeAware,KG,123,1.0,False,64,128,0.05,0.0015,False,weak,0.947056229499898,24,0.207155168056488,0.2271428571428571,0.5685609470556662,0.2271428571428571,0.1369219094156002
final,GCN-NodeAware,KG,101,1.0,False,64,128,0.05,0.0015,False,iid,0.941458794048916,7,0.2016608715057373,0.9514285714285714,0.9528389785918264,0.9514285714285714,0.9516923309770302
final,GCN-NodeAware,KG,101,1.0,False,64,128,0.05,0.0015,False,ood_profile,0.941458794048916,7,0.2016608715057373,0.8328571428571429,0.8628123231781768,0.8328571428571427,0.8384255993458993
final,GCN-NodeAware,KG,101,1.0,False,64,128,0.05,0.0015,False,weak,0.941458794048916,7,0.2016608715057373,0.2342857142857143,0.5904171476949126,0.2342857142857143,0.1450625099741587
final,GCN-NodeAware,KG,202,1.0,False,64,128,0.05,0.0015,False,iid,0.9512319289327822,9,0.2051429599523544,0.9542857142857144,0.9555136872059302,0.9542857142857144,0.9546146993856772
final,GCN-NodeAware,KG,202,1.0,False,64,128,0.05,0.0015,False,ood_profile,0.9512319289327822,9,0.2051429599523544,0.8242857142857143,0.8604834035950308,0.8242857142857142,0.8306755930437196
final,GCN-NodeAware,KG,202,1.0,False,64,128,0.05,0.0015,False,weak,0.9512319289327822,9,0.2051429599523544,0.2185714285714285,0.5662140575079871,0.2185714285714285,0.1222297878007593
final,GCN-NodeAware,KG,303,1.0,False,64,128,0.05,0.0015,False,iid,0.9484389595213149,23,0.2068072408437729,0.9428571428571428,0.9450659080578674,0.9428571428571428,0.9434798779062376
final,GCN-NodeAware,KG,303,1.0,False,64,128,0.05,0.0015,False,ood_profile,0.9484389595213149,23,0.2068072408437729,0.7957142857142857,0.8423219521823629,0.7957142857142857,0.8034240357762558
final,GCN-NodeAware,KG,303,1.0,False,64,128,0.05,0.0015,False,weak,0.9484389595213149,23,0.2068072408437729,0.2228571428571428,0.6076075230992918,0.2228571428571428,0.1286002349318657
final,GCN-NodeAware,KG,404,1.0,False,64,128,0.05,0.0015,False,iid,0.9483943047757916,30,0.206878125667572,0.9457142857142856,0.9477403618452211,0.9457142857142856,0.9462482090249504
final,GCN-NodeAware,KG,404,1.0,False,64,128,0.05,0.0015,False,ood_profile,0.9483943047757916,30,0.206878125667572,0.7928571428571428,0.8364025829243221,0.7928571428571429,0.799531676925292
final,GCN-NodeAware,KG,404,1.0,False,64,128,0.05,0.0015,False,weak,0.9483943047757916,30,0.206878125667572,0.2257142857142857,0.5883616357585819,0.2257142857142857,0.1346907696698218
