concept_index,concept_node,physical_region,target_tag
0,C01_VHP叶片级压力,VHP本体/压力,SYG1_10MAA50CP101
0,C01_VHP叶片级压力,VHP本体/压力,SYG1_10MAA50CP102
0,C01_VHP叶片级压力,VHP本体/压力,SYG1_10MAA50CP103
1,C02_VHP排汽蒸汽温度,VHP本体/温度,SYG1_10MAA50CT121A
1,C02_VHP排汽蒸汽温度,VHP本体/温度,SYG1_10MAA50CT122A
1,C02_VHP排汽蒸汽温度,VHP本体/温度,SYG1_10MAA50CT123A
2,C03_VHP排汽垂直管压力,VHP-RH1接口/压力,SYG1_10LBC01CP101
2,C03_VHP排汽垂直管压力,VHP-RH1接口/压力,SYG1_10LBC02CP101
3,C04_VHP排汽垂直管温度,VHP-RH1接口/温度,SYG1_10LBC01CT101
3,C04_VHP排汽垂直管温度,VHP-RH1接口/温度,SYG1_10LBC02CT101
4,C05_一级抽汽口压力,一级抽汽/压力,SYG1_10LBQ10CP101
5,C06_一级抽汽口温度,一级抽汽/温度,SYG1_10LBQ10CT101A
6,C07_一级抽汽逆止门前温度,一级抽汽阀前/温度,SYG1_10LBQ10CT102
6,C07_一级抽汽逆止门前温度,一级抽汽阀前/温度,SYG1_10LBQ10CT103
7,C08_一级抽汽逆止门后温度,一级抽汽阀后/温度,SYG1_10LBQ10CT104
7,C08_一级抽汽逆止门后温度,一级抽汽阀后/温度,SYG1_10LBQ10CT105
8,C09_1号高加入口抽汽压力,高加入口/压力,SYG1_10LBQ10CP102
9,C10_1号高加入口抽汽温度,高加入口/温度,SYG1_10LBQ10CT106
10,C11_一次低温再热温度,RH1入口/温度,SYG1_10LBC20CT101
10,C11_一次低温再热温度,RH1入口/温度,SYG1_10LBC20CT103
10,C11_一次低温再热温度,RH1入口/温度,SYG1_10LBC20CT104
11,C12_VHP内缸壁温度,VHP金属/温度,SYG1_10MAA50CT111A
11,C12_VHP内缸壁温度,VHP金属/温度,SYG1_10MAA50CT112A
12,C13_VHP内部蒸汽温度,VHP内部/温度,SYG1_10MAA50CT131A
