model,seed,val_macro_f1_at_best_loss,accuracy,macro_precision,macro_recall,macro_f1,learned_neighbor_gate,best_epoch,edges
Identity-Sensor,123,0.8832000371460406,0.8910714285714286,0.8946511375947995,0.8910714285714285,0.8918211739916923,0.1824334859848022,16,0
Corr-Sensor,123,0.8919966065804966,0.9017857142857144,0.9044451899655666,0.9017857142857142,0.9025397114373076,0.2081156820058822,18,33
KG-OrderedSensor,123,0.8959486905773799,0.9017857142857144,0.90498774718234,0.9017857142857144,0.9027086307511496,0.2091822922229766,18,33
Identity-Sensor,101,0.8946221599446487,0.9053571428571427,0.9080214605065005,0.9053571428571427,0.9060143749102364,0.1824305057525634,10,0
Corr-Sensor,101,0.8895395117755511,0.9,0.9032563111614308,0.8999999999999999,0.9005223173218518,0.1975602209568023,10,33
KG-OrderedSensor,101,0.8871149548172333,0.8964285714285715,0.9018166703577812,0.8964285714285715,0.8974295671388858,0.2025335282087326,11,33
Identity-Sensor,202,0.9033479476923212,0.8910714285714286,0.894393676429958,0.8910714285714285,0.8919703114437963,0.1824305057525634,10,0
Corr-Sensor,202,0.8880146650440237,0.8803571428571428,0.8824215757161858,0.8803571428571428,0.8806430690984627,0.1981367617845535,7,33
KG-OrderedSensor,202,0.8807040101991923,0.8875,0.8895251922015349,0.8875,0.8879000256069435,0.1986664980649948,7,33
Identity-Sensor,303,0.8554249523247333,0.8607142857142858,0.8685296197139987,0.8607142857142858,0.8622669274113547,0.1824280172586441,5,0
Corr-Sensor,303,0.8673906327236777,0.8696428571428572,0.8764607279693486,0.869642857142857,0.8704214914636496,0.2022475153207779,7,33
KG-OrderedSensor,303,0.8843295503601556,0.8928571428571429,0.8971729834879536,0.8928571428571428,0.8936386731741948,0.222941517829895,17,33
Identity-Sensor,404,0.8968367098301309,0.9035714285714286,0.9048912369290314,0.9035714285714284,0.903897927121546,0.1824319958686828,13,0
Corr-Sensor,404,0.8917140512419974,0.8910714285714286,0.894265873015873,0.8910714285714285,0.8917264932608354,0.2042492777109146,13,33
KG-OrderedSensor,404,0.8957541853931931,0.8964285714285715,0.8996575377493281,0.8964285714285715,0.8971880827458212,0.2139278650283813,15,33
