scenario,model,missing_nodes,accuracy,macro_f1
random,CNN,0,0.9785714285714285,0.9785284859395305
random,KG-GCN,0,0.9875,0.9875304418933668
random,CNN,1,0.9589285714285715,0.958988727790555
random,KG-GCN,1,0.9767857142857143,0.9768862556894988
random,CNN,2,0.9428571428571428,0.9433333647159248
random,KG-GCN,2,0.9571428571428572,0.9574491069535308
random,CNN,4,0.9017857142857143,0.9028557094311709
random,KG-GCN,4,0.9071428571428571,0.9096662022524091
random,CNN,6,0.8375,0.8383808447254137
random,KG-GCN,6,0.8446428571428571,0.8498267273121074
target_post_NRV_2T,CNN,2,0.9696428571428571,0.9697059816541725
target_post_NRV_2T,KG-GCN,2,0.9482142857142857,0.9482573461002339
target_post_NRV_plus_heater_PT,CNN,4,0.7,0.6232550426717576
target_post_NRV_plus_heater_PT,KG-GCN,4,0.7160714285714286,0.6517962144445129
target_NRV_prepost_plus_heater,CNN,6,0.6607142857142857,0.5872055728491166
target_NRV_prepost_plus_heater,KG-GCN,6,0.6964285714285714,0.6225015999671355
