head,head_type,relation,tail,tail_type,source_key,evidence_grade,note
主蒸汽系统,设备,介质流向,VHP,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
VHP,设备,介质流向,一次再热系统RH1,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
一次再热系统RH1,设备,介质流向,HP,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
HP,设备,介质流向,二次再热系统RH2,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
二次再热系统RH2,设备,介质流向,IP,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
IP,设备,介质流向,LP,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
LP,设备,介质流向,凝汽器,设备,LiPing2018SteamTurbine,A,汽轮机主通流拓扑
VHP,设备,介质/能量连接,一级抽汽系统,设备,LiPing2018SteamTurbine,A,
一级抽汽系统,设备,介质/能量连接,1号高压加热器,设备,LiPing2018SteamTurbine,A,
HP,设备,介质/能量连接,高压抽汽系统,设备,LiPing2018SteamTurbine,A,
高压抽汽系统,设备,介质/能量连接,高压加热器组,设备,LiPing2018SteamTurbine,A,
IP,设备,介质/能量连接,中压抽汽系统,设备,LiPing2018SteamTurbine,A,
中压抽汽系统,设备,介质/能量连接,除氧器,设备,LiPing2018SteamTurbine,A,
LP,设备,介质/能量连接,低压抽汽系统,设备,LiPing2018SteamTurbine,A,
低压抽汽系统,设备,介质/能量连接,低压加热器组,设备,LiPing2018SteamTurbine,A,
凝汽器,设备,介质/能量连接,凝结水系统,设备,LiPing2018SteamTurbine,A,
凝结水系统,设备,介质/能量连接,低压加热器组,设备,LiPing2018SteamTurbine,A,
低压加热器组,设备,介质/能量连接,除氧器,设备,LiPing2018SteamTurbine,A,
除氧器,设备,介质/能量连接,给水泵,设备,LiPing2018SteamTurbine,A,
给水泵,设备,介质/能量连接,高压加热器组,设备,LiPing2018SteamTurbine,A,
高压加热器组,设备,介质/能量连接,锅炉给水系统,设备,LiPing2018SteamTurbine,A,
循环水系统,设备,介质/能量连接,凝汽器,设备,LiPing2018SteamTurbine,A,
主蒸汽压力,参数,归属,主蒸汽系统,设备,UserDCS_SystemTopology,A,
主蒸汽温度,参数,归属,主蒸汽系统,设备,UserDCS_SystemTopology,A,
主蒸汽流量,参数,归属,主蒸汽系统,设备,UserDCS_SystemTopology,A,
调节阀指令,参数,归属,高压调节阀,设备,UserDCS_SystemTopology,A,
调节阀实际位置,参数,归属,高压调节阀,设备,UserDCS_SystemTopology,A,
VHP叶片级压力,参数,归属,VHP,设备,UserDCS_SystemTopology,A,
VHP排汽压力,参数,归属,VHP,设备,UserDCS_SystemTopology,A,
VHP排汽温度,参数,归属,VHP,设备,UserDCS_SystemTopology,A,
